accion;prioridad;publicacion_id;titulo;canal;stock;visitas_30d;precio;capital;vendidas_ene_jul_2025;vendidas_ago_dic_2025;link
MUERTA: LIQUIDAR;3;MCO4230741516;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Destino 6";internacional;2;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230741516-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-destino-6-_JM
MUERTA: LIQUIDAR;3;MCO4230741508;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Plenitud 8";internacional;1;0;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230741508-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-plenitud-8-_JM
MUERTA: LIQUIDAR;3;MCO4230741522;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Ilusión Verde 8.5";internacional;1;2;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230741522-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-ilusion-verde-85-_JM
MUERTA: LIQUIDAR;3;MCO4230741506;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Confianza 8";internacional;1;0;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230741506-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-confianza-8-_JM
MUERTA: LIQUIDAR;3;MCO4230738896;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Promesa 8";internacional;1;2;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230738896-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-promesa-8-_JM
MUERTA: LIQUIDAR;3;MCO4230704876;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Ilusión 6.5";internacional;1;0;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230704876-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-ilusion-65-_JM
MUERTA: LIQUIDAR;3;MCO4230704880;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Anhelo 6";internacional;1;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230704880-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-anhelo-6-_JM
MUERTA: LIQUIDAR;3;MCO4230738898;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Complicidad 8";internacional;1;1;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230738898-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-complicidad-8-_JM
MUERTA: LIQUIDAR;3;MCO4230704882;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Confianza 8.5";internacional;1;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230704882-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-confianza-85-_JM
MUERTA: LIQUIDAR;3;MCO4230704878;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Destino 6.5";internacional;1;0;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230704878-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-destino-65-_JM
MUERTA: LIQUIDAR;3;MCO4230741514;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Confianza 6.5";internacional;1;0;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230741514-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-confianza-65-_JM
MUERTA: LIQUIDAR;3;MCO4230738894;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Anhelo 7";internacional;1;1;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230738894-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-anhelo-7-_JM
MUERTA: LIQUIDAR;3;MCO4230741518;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Anhelo 7";internacional;1;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230741518-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-anhelo-7-_JM
MUERTA: LIQUIDAR;3;MCO2064432239;"Anillo De 15 Años En Plata 975 Nacional Y Oro Laminado Promesa 15 7";internacional;1;2;185000;0;0;0;https://articulo.mercadolibre.com.co/MCO-2064432239-anillo-de-15-anos-en-plata-975-nacional-y-oro-laminado-promesa-15-7-_JM
MUERTA: LIQUIDAR;3;MCO4230741510;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Ternura 9";internacional;1;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230741510-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-ternura-9-_JM
MUERTA: LIQUIDAR;3;MCO4230738900;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Promesa 7";internacional;2;0;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230738900-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-promesa-7-_JM
MUERTA: LIQUIDAR;3;MCO4230741512;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Lealtad 5.5";internacional;1;2;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230741512-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-lealtad-55-_JM
MUERTA: LIQUIDAR;3;MCO4230704884;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Destino 8";internacional;1;0;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230704884-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-destino-8-_JM
MUERTA: LIQUIDAR;3;MCO4230704886;"Anillo En Plata 975 Para Mujer Promesa Elegante Nacional Devoción 7.5";internacional;1;1;125000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230704886-anillo-en-plata-975-para-mujer-promesa-elegante-nacional-devocion-75-_JM
MUERTA: LIQUIDAR;3;MCO4230652870;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Entrega 8";internacional;1;2;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230652870-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-entrega-8-_JM
MUERTA: LIQUIDAR;3;MCO4230702310;"Anillo De Promesa Para Mujer En Plata Y Oro 18k Laminado Anhelo 6";internacional;1;0;178000;0;0;0;https://articulo.mercadolibre.com.co/MCO-4230702310-anillo-de-promesa-para-mujer-en-plata-y-oro-18k-laminado-anhelo-6-_JM
